,,,,,,,,,,,,,,,
Integrated Cold Chain Availability Platform (ICAP) of ANDHRA PRADESH for Year: 2010 - 2011 onwards as on date,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Name of Agency: NATIONAL HORTICULTURE BOARD (NHB),,,,,,,,,,,,,,,
"Component Category: COLD / CA STORAGE,POST HARVEST INFRASTRUCTURE",,,,,,,,,,,,,,,
"Component: CA STORAGE,COLD STORAGE,COLD ROOM,CONVEYOR BELT,GRADING PACKING UNIT,PACK HOUSE,PRE-COOLING,REFER VAN,RIPENING CHAMBER,SPECIALIZED TRANSPORT VEHICLE",,,,,,,,,,,,,,,
District: ALL,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Sl. No.,Project Code,State,Year of Subsidy Sanctioned,District,Name of Beneficiary,Project Address,Total Project Cost(In Lakhs),Total Amount Sanctioned (In Lakhs),Supported By,Current Status of Project,Component Details,,,,
,,,,,,,,,,,Component Category,Component,No. of Unit(s) / Chamber(s),Capacity,Unit of Capacity
Sl. No.,Project Code,State,Year of Subsidy Sanctioned,District,Name of Beneficiary,Project Address,Total Project Cost(In Lakhs),Total Amount Sanctioned (In Lakhs),Supported By,Current Status of Project,Component Details,,,,
,,,,,,,,,,,Component Category,Component,No. of Unit(s) / Chamber(s),Capacity,Unit of Capacity
57,28AP20080000051,Andhra Pradesh,2007-08,Krishna,M/s PNR Cold Storage,"Torraguntapalem Village, Jagayapet Mandal, Krishna",0,33.06,Through NABARD,Completed,COLD / CA STORAGE,COLD STORAGE,0,8318,MT
58,28AP20080000053,Andhra Pradesh,2008-09,Krishna,M/s Gayatri Cold Storage,"D No.6-29, Rytupet, Nadigama, Krishna",0,43.43,Through NABARD,Completed,COLD / CA STORAGE,COLD STORAGE,0,6321,MT
59,28AP20080000054,Andhra Pradesh,2008-09,Prakasam,M/s Parchoor Cold Storage Pvt. Ltd.,"S. No.596/2, Parchoor Village & Panchayat, Prakasam",0,46.92,Through NABARD,Completed,COLD / CA STORAGE,COLD STORAGE,0,4992,MT
60,28AP20080000026,Andhra Pradesh,2008-09,Guntur,M/s Amulya Cold Storage (formerly Lakshmi Balaji Cold Storage Pvt. Ltd.,"Lalpuram, NH - 5, Guntur",0,32.63,Through NABARD,Completed,COLD / CA STORAGE,COLD STORAGE,0,4099,MT
61,28AP20100000056,Andhra Pradesh,2010-11,Guntur,M/s. Bhramari Cold Storage Pvt. Ltd.,"D No 625, Ankireddypalem, Guntur district",0,50,Through NABARD,Completed,COLD / CA STORAGE,COLD STORAGE,0,7942.95,MT
62,28AP20100000055,Andhra Pradesh,2010-11,Guntur,M/s. Sri Lakshmi Venkateswara Cold Storage Pvt. Ltd.,"D.No.693/3, N.H. 5, Ankireddypalem V, Guntur District",0,50,Through NABARD,Completed,COLD / CA STORAGE,COLD STORAGE,0,8614.51,MT
63,28AP20100000058,Andhra Pradesh,2010-11,Guntur,M/s. Sri Sai Tirumala Cold Storage Pvt. Ltd.,"D.No. 217/2, Kesunapalli village, Dachepalli, Guntur",0,48.25,Through NABARD,Completed,COLD / CA STORAGE,COLD STORAGE,0,10143,MT
64,28AP20100000057,Andhra Pradesh,2010-11,Guntur,M/s. Vigneswara Cold Storage,"D. No.264/1A, Nandigama village, Sattanapalli, Guntur",0,50,Through NABARD,Completed,COLD / CA STORAGE,COLD STORAGE,0,10142.97,MT
65,28AP20100000061,Andhra Pradesh,2010-11,Guntur,"M/s Dhanyalakshmi Cold Storage ( M. Somaiah , B. Krishna Murthy & P.Veera reddy),","D No 1949 & 1957/1, Gurzala Village, Guntur-522415",0,48.24,Through NABARD,Completed,COLD / CA STORAGE,COLD STORAGE,0,8858,MT
66,28AP20100000063,Andhra Pradesh,2010-11,Krishna,"M/s Haritha Cold Storage ( S.H.V.D.Radhika, S.Madhusudhana Rao & 2 others)","R.S No 357/1, Navabpet Village, Penganchiprolu Mandal, Krisha District",0,40,Through NABARD,Completed,COLD / CA STORAGE,COLD STORAGE,0,7805,MT
