,Unnamed: 0,Sr. No.,Project Code,State,Year of Subsidy Sanctioned,District,Name of Beneficiary,Project Address,Total Project Cost(In Lakhs),Total Amount Sanctioned (In Lakhs),Supported By,Current Status of Project,Component Details
94,94,95,28AAP0CS000039,Andhra Pradesh,2019-20,Kurnool,Sri Pooja Cold Storage,"Village-Kanala, Taluka-Nandyal, Dist-Kurnool (Andhra Pradesh)",612.0,190.13,NHB,Completed,COLD / CA STORAGECOLD STORAGE49930.00MT
95,95,96,28AAP0CS000038,Andhra Pradesh,2019-20,Kurnool,Sri Lakshmi Venkateswara Cold Storage,"Village-Nannur, Taluka-Orvakal, Dist-Kurnool (Andhra Pradesh)",600.0,188.25,NHB,Completed,COLD / CA STORAGECOLD STORAGE410346.00MT
0,0,1,18AS20010000174,Assam,2001-02,Cachar,Barak Cold Storage (P) Ltd.,Cachar (Assam),0.0,30.0,NHB,Completed,COLD / CA STORAGECOLD STORAGE03000.00MT
1,1,2,18AS20010000175,Assam,2001-02,Guwahati,Mahabir Cold Storage (P) Ltd.,Guwahati (Assam),0.0,60.0,NHB,Completed,COLD / CA STORAGECOLD STORAGE05000.00MT
2,2,3,18AS20010000176,Assam,2001-02,Cachar,Shri Lalit Cold Storage (P) Ltd.,Cachar (Assam),0.0,30.0,NHB,Completed,COLD / CA STORAGECOLD STORAGE03000.00MT
3,3,4,18AS20020000180,Assam,2002-03,Cachar,Barak Cold Storage,Cachar (Assam),0.0,30.0,NHB,Completed,COLD / CA STORAGECOLD STORAGE03000.00MT
4,4,5,18AS20020000181,Assam,2002-03,Guwahati,L. Daulo Builders & Suppliers (P) Ltd.,Guwahati,0.0,30.0,NHB,Completed,COLD / CA STORAGECOLD STORAGE03000.00MT
5,5,6,18AS20020000179,Assam,2002-03,Guwahati,North East Cold Storage Pvt. Ltd.,Guwahati,0.0,60.0,NHB,Completed,COLD / CA STORAGECOLD STORAGE05000.00MT
6,6,7,18AS20020000178,Assam,2002-03,Cachar,Shri Lalit Cold Storage,Cachar (Assam),0.0,30.0,NHB,Completed,COLD / CA STORAGECOLD STORAGE03000.00MT
7,7,8,18AAS0CS000004,Assam,2013-14,Karimganj,Dey's Cold Storage Pvt. Ltd.,"Village- Patel Nagar, P.O - Kanishail, Taluka- Karimganj, Distt- Karimganj (Assam)",635.64,120.0,NHB,Completed,COLD / CA STORAGECOLD STORAGE45100.00MT
8,8,9,18AAS0CS000003,Assam,2013-14,Nagaon,Hojai Cold Storage,"Village- Dhanuhar Basti, Taluka- Hojai, Distt.- Nagaon (Assam)",492.0,165.0,NHB,Under Implementation,COLD / CA STORAGECOLD STORAGE45371.00MT
9,9,10,18AAS0CS000008,Assam,2014-15,Kamrup,Krishna Cold Storage,"Village-Gauripur, Taluka-North Guwahati, Dist-Kamrup (Assam)",768.85,228.0,NHB,Completed,COLD / CA STORAGECOLD STORAGE46165.00MT
10,10,11,18AAS0CS000010,Assam,2015-16,Kamrup,Kamrupa Thanda Ghar Private Limited,"Village- Soarpara, Taluka- Chayani of Palasbari, Revenue Circle Mirza, Guwahati, Distt.- Kamrup(Assam)",1103.0,340.0,NHB,Completed,COLD / CA STORAGECOLD STORAGE912222.00MT
